Iteration	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
320	-418.803	-418.549	-0.254108	2.008812	0.9150128	1.436254	10.35779	0.0161862	0.0120271	0.0286011	0.00624685	0.0877609	0.0111043	0.030176	0.169823	0.0159893	0.221237	0.0369741	0.0594346	0.0446715	0.00475256	0.0289579	0.124221	0.0907651	0.406942	0.704815	0.00549935	0.240906	0.0409953	0.167351	0.282377	0.0602565	0.0595445	0.0636971	0.0262014	0.0129431	0.0111654	0.0686536	0.0419583	0.176438	0.170671	0.351522	0.512284	0.725942	0.392276	0.256402	0.0733163	0.278005	0.294324	0.655947	1.07021	1.97952	3.358672
330	-408.637	-411.085	2.4475	1.25894	2.007439	2.149202	14.585	0.021816	0.0096409	0.0413947	0.0126068	0.0562919	0.008287	0.00589348	0.042517	0.039124	0.218941	0.170052	0.0403422	0.0715297	0.0125803	0.0193734	0.0907096	0.0554194	0.142536	0.613343	0.021612	0.281415	0.0269953	0.063081	0.212474	0.0869666	0.0935215	0.0466258	0.00787577	0.00587334	0.0074571	0.0531424	0.00717439	0.257424	0.248309	0.41994	0.554822	0.730877	0.400591	0.300237	0.0689506	0.230221	0.185572	0.542807	1.03246	2.23916	2.844036
340	-408.099	-413.984	5.88488	3.192316	2.307268	1.492965	9.45234	0.016734	0.00867204	0.0516742	0.0209908	0.0881291	0.00829192	0.0229124	0.0639872	0.0880686	0.226489	0.0857114	0.0671795	0.0104625	0.00227448	0.0105712	0.0682148	0.147651	0.177939	0.381512	0.0415677	0.103089	0.0124258	0.0160684	0.283707	0.0759408	0.0340636	0.033353	0.0021549	0.0084461	0.0325244	0.113878	0.0312383	0.116309	0.318153	0.508624	0.646085	0.807921	0.434049	0.217507	0.0931262	0.255317	0.403613	0.741649	1.08331	1.77142	2.452231
350	-418.241	-420.601	2.35952	2.082875	2.084218	1.407858	11.26916	0.0312704	0.0175171	0.0701326	0.0570082	0.123113	0.0193404	0.0207866	0.0547912	0.0979459	0.277278	0.0777033	0.0581096	0.0231377	0.00657449	0.00516829	0.0718561	0.170037	0.232061	0.557663	0.044711	0.0678464	0.0492024	0.113882	0.180371	0.0805737	0.0372073	0.0391371	0.00611246	0.0183003	0.0796748	0.0877208	0.10727	0.0945861	0.3035	0.497259	0.639179	0.806366	0.433904	0.233447	0.0825994	0.25005	0.302971	0.663547	1.07193	1.96155	2.978089
360	-406.142	-406.852	0.709874	0.9599417	2.125525	1.70373	10.94859	0.0192244	0.057988	0.1111	0.0815862	0.152507	0.0594049	0.0126911	0.0336554	0.0346258	0.10509	0.0694154	0.0457137	0.024219	0.00557619	0.0101078	0.168821	0.124149	0.471988	0.371132	0.107436	0.0674995	0.0615186	0.186382	0.169089	0.033785	0.00398615	0.025443	0.00961092	0.0278017	0.048447	0.0368531	0.145707	0.324045	0.286047	0.470644	0.609064	0.778962	0.462956	0.203353	0.0736139	0.260077	0.128893	0.464371	0.993032	2.4137	3.206598
370	-406.229	-404.796	-1.43278	1.151495	0.9958706	1.955531	12.1685	0.0257136	0.0651043	0.0685585	0.0619043	0.154342	0.0113852	0.0417049	0.00793974	0.0807816	0.159819	0.059652	0.0207242	0.0309201	0.0110118	0.00553901	0.0994947	0.168531	0.256614	0.636681	0.0971439	0.11747	0.0996988	0.245836	0.125651	0.0548657	0.0077474	0.0298929	0.0107102	0.0925308	0.0903033	0.0173982	0.0601767	0.368205	0.155452	0.317697	0.465285	0.673935	0.189866	0.433084	0.105243	0.271807	0.166153	0.517989	1.02118	2.29468	3.384051
380	-411.233	-416.957	5.7239	0.5693829	0.5376835	1.008247	16.69784	0.0321463	0.128439	0.0532532	0.0683615	0.189492	0.0247929	0.0645688	0.0051217	0.0704469	0.0287606	0.067302	0.0228249	0.0162749	0.00483243	0.004556	0.0534236	0.106549	0.140141	0.20269	0.0212261	0.10064	0.0871681	0.331036	0.385786	0.0581536	0.0236451	0.0143257	0.0200821	0.0423364	0.102935	0.0397849	0.0317117	0.18485	0.14381	0.332924	0.511985	0.74587	0.341348	0.261326	0.0577668	0.339559	0.0468611	0.294819	0.864857	2.79346	2.727658
390	-406.916	-410.47	3.55424	1.751864	0.9776575	0.8895218	7.968383	0.00868558	0.037532	0.0372055	0.064438	0.245936	0.0280186	0.0326881	0.0201582	0.0835555	0.0221877	0.114601	0.0285892	0.0347326	0.013297	0.015147	0.129193	0.0682268	0.288515	0.443935	0.046804	0.0682868	0.0540323	0.246797	0.295988	0.0459601	0.00882667	0.0103301	0.00991742	0.0329613	0.0623758	0.0533154	0.0845713	0.217933	0.215716	0.426612	0.599706	0.803548	0.34074	0.295253	0.0670688	0.296938	0.261742	0.625736	1.06233	2.05019	2.95474
400	-409.131	-423.921	14.7898	1.449137	0.6348078	0.6700648	13.22642	0.0486531	0.0277928	0.0187785	0.110214	0.117955	0.0404866	0.0405949	0.0214331	0.0413929	0.00946024	0.0721627	0.093614	0.0103936	0.0105132	0.00952979	0.106033	0.0873026	0.229108	0.20002	0.130587	0.0533604	0.0345983	0.177114	0.0913123	0.0784111	0.00486658	0.0346052	0.0073158	0.0505979	0.0526284	0.0224277	0.0336264	0.113943	0.182662	0.399352	0.588041	0.808609	0.262989	0.339009	0.0570585	0.340944	0.217357	0.579865	1.04729	2.15549	2.180831
410	-394.024	-405.499	11.4742	1.126933	0.5103415	0.2582068	13.45512	0.0330396	0.0541447	0.0849948	0.0433389	0.0852368	0.00945323	0.0175863	0.00701359	0.0479025	0.00796918	0.0176037	0.0287994	0.00760126	0.00917581	0.00601934	0.0835086	0.0715435	0.337155	0.464438	0.204589	0.0253374	0.0562152	0.143984	0.107318	0.0204838	0.0197818	0.0313848	0.0136118	0.0222778	0.0228915	0.02846	0.0322825	0.347494	0.202675	0.45211	0.658735	0.868621	0.205858	0.573964	0.0272538	0.192924	0.161562	0.511841	1.01822	2.30838	2.492636
